cluster	cluster_pins	elite_c_pin
LEFT_13_LT	(1,)	B2
LEFT_13_LT	(2,)	F4
LEFT_13_LT	(3,)	F5
LEFT_13_LT	(4,)	F6
LEFT_13_LT	(6,)	F7
LEFT_13_LT	(7,)	B1
LEFT_13_LT	(8,)	B3
LEFT_13_LT	(9,)	B6
LEFT_13_LT	(11,)	B7
LEFT_13_LT	(12,)	D5
LEFT_13_LT	(13,)	C7
RIGHT_13_DOWN	(1,)	D3
RIGHT_13_DOWN	(2,)	D1
RIGHT_13_DOWN	(3,)	D2
RIGHT_13_DOWN	(4,)	C7
RIGHT_13_DOWN	(6,)	C6
RIGHT_13_DOWN	(7,)	D5
RIGHT_13_DOWN	(8,)	B7
RIGHT_13_DOWN	(9,)	B6
RIGHT_13_DOWN	(10,)	B2
RIGHT_13_DOWN	(12,)	D0
RIGHT_13_DOWN	(13,)	D4
THUMB_LEFT_BAK_KB600	(6,)	F7
THUMB_LEFT_BAK_KB600	(9,)	F1
THUMB_LEFT_BAK_KB600	(10,)	F0
THUMB_LEFT_BAK_KB600	(11,)	F6
THUMB_LEFT_BAK_KB600	(12,)	F5
THUMB_LEFT_BAK_KB600	(13,)	F4
THUMB_RIGHT_SPC_KB600	(3,)	D0
THUMB_RIGHT_SPC_KB600	(4,)	D2
THUMB_RIGHT_SPC_KB600	(5,)	D1
THUMB_RIGHT_SPC_KB600	(6, 7)	D3
THUMB_RIGHT_SPC_KB600	(8,)	F0
THUMB_RIGHT_SPC_KB600	(9,)	F1
TOP_LEFT	(1,)	B7
TOP_LEFT	(2,)	D7
TOP_LEFT	(3, 6, 10)	E6
TOP_LEFT	(4, 7, 11)	B4
TOP_LEFT	(5,)	B6
TOP_LEFT	(8,)	B2
TOP_RIGHT	(3, 6, 13)	E6
TOP_RIGHT	(4, 7, 12)	B4
TOP_RIGHT	(5,)	C7
TOP_RIGHT	(8,)	D5
TOP_RIGHT	(9,)	D7
TOP_RIGHT	(10, 11)	F1
