key	identifier	mtx_coords	ROWX_COLY	PINX_PINY	cluster	row_cluster_pins	col_cluster_pins	elite_c_row_pin	elite_c_col_pin
KC_ESC	kC0	(12, 0)	('ROW_ESC', 'COL_0')	('LINE_PIN17', 'LINE_PIN18')	TOP_LEFT	(2,)	(1,)	D7	B2
KC_F1	kD0	(13, 0)	('ROW_F1', 'COL_0')	('LINE_PIN23', 'LINE_PIN18')	TOP_LEFT	(3, 6, 10)	(1,)	E6	B2
KC_F2	kE0	(14, 0)	('ROW_F2', 'COL_0')	('LINE_PIN21', 'LINE_PIN18')	TOP_LEFT	(4, 7, 11)	(1,)	B4	B2
KC_F3	kC1	(12, 1)	('ROW_ESC', 'COL_1')	('LINE_PIN17', 'LINE_PIN14')	TOP_LEFT	(2,)	(8,)	D7	B6
KC_F4	kD1	(13, 1)	('ROW_F1', 'COL_1')	('LINE_PIN23', 'LINE_PIN14')	TOP_LEFT	(3, 6, 10)	(8,)	E6	B6
KC_F5	kE1	(14, 1)	('ROW_F2', 'COL_1')	('LINE_PIN21', 'LINE_PIN14')	TOP_LEFT	(4, 7, 11)	(8,)	B4	B6
KC_F6	kC2	(12, 2)	('ROW_ESC', 'COL_2')	('LINE_PIN17', 'LINE_PIN15')	TOP_LEFT	(2,)	(5,)	D7	B7
KC_F7	kD2	(13, 2)	('ROW_F1', 'COL_2')	('LINE_PIN23', 'LINE_PIN15')	TOP_LEFT	(3, 6, 10)	(5,)	E6	B7
KC_F8	kE2	(14, 2)	('ROW_F2', 'COL_2')	('LINE_PIN21', 'LINE_PIN15')	TOP_LEFT	(4, 7, 11)	(5,)	B4	B7
KC_EQL	k00	(0, 0)	('ROW_EQL', 'COL_0')	('LINE_PIN8', 'LINE_PIN18')	LEFT_13_LT	(8,)	(1,)	B3	B2
KC_1	k10	(1, 0)	('ROW_1', 'COL_0')	('LINE_PIN9', 'LINE_PIN18')	LEFT_13_LT	(7,)	(1,)	B1	B2
KC_2	k20	(2, 0)	('ROW_2', 'COL_0')	('LINE_PIN10', 'LINE_PIN18')	LEFT_13_LT	(6,)	(1,)	F7	B2
KC_3	k30	(3, 0)	('ROW_3', 'COL_0')	('LINE_PIN11', 'LINE_PIN18')	LEFT_13_LT	(4,)	(1,)	F6	B2
KC_4	k40	(4, 0)	('ROW_4', 'COL_0')	('LINE_PIN7', 'LINE_PIN18')	LEFT_13_LT	(3,)	(1,)	F5	B2
KC_5	k50	(5, 0)	('ROW_5', 'COL_0')	('LINE_PIN16', 'LINE_PIN18')	LEFT_13_LT	(2,)	(1,)	F4	B2
KC_TAB	k01	(0, 1)	('ROW_EQL', 'COL_1')	('LINE_PIN8', 'LINE_PIN14')	LEFT_13_LT	(8,)	(9,)	B3	B6
KC_Q	k11	(1, 1)	('ROW_1', 'COL_1')	('LINE_PIN9', 'LINE_PIN14')	LEFT_13_LT	(7,)	(9,)	B1	B6
KC_W	k21	(2, 1)	('ROW_2', 'COL_1')	('LINE_PIN10', 'LINE_PIN14')	LEFT_13_LT	(6,)	(9,)	F7	B6
KC_E	k31	(3, 1)	('ROW_3', 'COL_1')	('LINE_PIN11', 'LINE_PIN14')	LEFT_13_LT	(4,)	(9,)	F6	B6
KC_R	k41	(4, 1)	('ROW_4', 'COL_1')	('LINE_PIN7', 'LINE_PIN14')	LEFT_13_LT	(3,)	(9,)	F5	B6
KC_T	k51	(5, 1)	('ROW_5', 'COL_1')	('LINE_PIN16', 'LINE_PIN14')	LEFT_13_LT	(2,)	(9,)	F4	B6
KC_CAPS	k02	(0, 2)	('ROW_EQL', 'COL_2')	('LINE_PIN8', 'LINE_PIN15')	LEFT_13_LT	(8,)	(11,)	B3	B7
KC_A	k12	(1, 2)	('ROW_1', 'COL_2')	('LINE_PIN9', 'LINE_PIN15')	LEFT_13_LT	(7,)	(11,)	B1	B7
KC_S	k22	(2, 2)	('ROW_2', 'COL_2')	('LINE_PIN10', 'LINE_PIN15')	LEFT_13_LT	(6,)	(11,)	F7	B7
KC_D	k32	(3, 2)	('ROW_3', 'COL_2')	('LINE_PIN11', 'LINE_PIN15')	LEFT_13_LT	(4,)	(11,)	F6	B7
KC_F	k42	(4, 2)	('ROW_4', 'COL_2')	('LINE_PIN7', 'LINE_PIN15')	LEFT_13_LT	(3,)	(11,)	F5	B7
KC_G	k52	(5, 2)	('ROW_5', 'COL_2')	('LINE_PIN16', 'LINE_PIN15')	LEFT_13_LT	(2,)	(11,)	F4	B7
KC_LSFT	k03	(0, 3)	('ROW_EQL', 'COL_3')	('LINE_PIN8', 'LINE_PIN20')	LEFT_13_LT	(8,)	(12,)	B3	D5
KC_Z	k13	(1, 3)	('ROW_1', 'COL_3')	('LINE_PIN9', 'LINE_PIN20')	LEFT_13_LT	(7,)	(12,)	B1	D5
KC_X	k23	(2, 3)	('ROW_2', 'COL_3')	('LINE_PIN10', 'LINE_PIN20')	LEFT_13_LT	(6,)	(12,)	F7	D5
KC_C	k33	(3, 3)	('ROW_3', 'COL_3')	('LINE_PIN11', 'LINE_PIN20')	LEFT_13_LT	(4,)	(12,)	F6	D5
